date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	margin_expense	notes	contracts	entry_price	liquidation_price	unrealized_pnl	funding_profit	funding_loss	margin_locked	fee	margin
2021-01-14	0		BUY	100	1.3395847013523907	74.6500015258789				10000													
2021-01-21	104.56797851709716		BUY	100	1.281065886851169	78.05999755859375																	
2021-01-28	193.4564256214277		BUY	150	2.031969664320075	73.81999969482422																	
2021-02-04	366.39384488623625		BUY	100	1.2698412698412698	78.75																	
2021-02-11	482.97675522277615		BUY	100	1.2262415237008932	81.55000305175781																	
2021-02-18	582.7622483175625		BUY	100	1.2266928866281472	81.5199966430664																	
2021-02-25	638.0376647085927		BUY	150	1.9690207324639348	76.18000030517578																	
2021-03-04	751.5218865080471		BUY	150	2.0646936937305913	72.6500015258789																	
2021-03-11	1024.4961209341525		BUY	100	1.211240345895467	82.55999755859375																	
2021-03-17	1155.6867365179114		BUY	100	1.178550404223043	84.8499984741211																	
2021-03-24	1176.216709822803		BUY	100	1.258178104886508	79.4800033569336																	
2021-03-31	1364.048830217935		BUY	100	1.1771630793692363	84.94999694824219																	
2021-04-07	1576.9331698335393		BUY	100	1.092896174863388	91.5																	
2021-04-14	1739.245468590162		BUY	100	1.0537407628252813	94.9000015258789																	
2021-04-21	1897.5819564773506		BUY	100	1.0213460960036655	97.91000366210938																	
2021-04-28	2014.3117750191884		BUY	100	1.012863330293579	98.7300033569336																	
2021-05-05	2087.542914197628		BUY	100	1.025851421381667	97.4800033569336																	
2021-05-12	2023.050782330679		BUY	100	1.1092623217681643	90.1500015258789																	
2021-05-19	2208.302400028899		BUY	100	1.066439197824097	93.7699966430664																	
2021-05-26	2445.9095242241997		BUY	100	1.0064412176501312	99.36000061035156																	
2021-06-02	2567.68910551997		BUY	100	0.9979044098753495	100.20999908447266																	
2021-06-09	2691.648034643546		BUY	100	0.9890218514128075	101.11000061035156																	
2021-06-16	2798.5505369128364		BUY	100	0.9865824723543591	101.36000061035156																	
2021-06-22	2933.4384135111936		HOLD			102.58000183105469	1.1761778104315608																
2021-06-23	2933.4384135111936		BUY	100	0.9748488810196763	102.58000183105469																	
2021-06-30	3151.724175233333		BUY	100	0.9382623220303095	106.58000183105469																	
2021-07-07	3395.424847265448		SELL	3395.424847265448	30.509702752565197	111.29000091552734																	
2021-07-14	0		BUY	100	0.8893631966266732	112.44000244140625																	
2021-07-21	98.74599463581109		BUY	150	1.3509862347937776	111.02999877929688																	
2021-07-28	255.91512307186235		BUY	100	0.875426744824044	114.2300033569336																	
2021-08-04	356.13322645334006		BUY	100	0.8748906153109862	114.30000305175781																	
2021-08-11	470.77896627121953		BUY	100	0.8476731284669218	117.97000122070312																	
2021-08-18	552.6351915711355		BUY	100	0.875503405106551	114.22000122070312																	
2021-08-25	696.7460690160374		BUY	100	0.8200754305220823	121.94000244140625																	
2021-09-01	812.8195031729576		BUY	100	0.8038585110402673	124.4000015258789																	
2021-09-08	905.9219746277726		BUY	100	0.8099789465540084	123.45999908447266																	
2021-09-15	984.7378209058239		BUY	100	0.8274036033012818	120.86000061035156																	
2021-09-22	1021.2834437418409		BUY	150	1.3182177589694666	113.79000091552734																	
2021-09-29	1141.3296773016145		BUY	150	1.3528138863240828	110.87999725341797																	
2021-10-06	1293.658968906016		BUY	150	1.3503780836098658	111.08000183105469																	
2021-10-13	1443.658968906016		BUY	150	1.3503780836098658	111.08000183105469																	
